ChaseEnemy_atk,sound_Enemy_1
Player_hurt,Hurt_Player
ChaseEnemy_hurt,Hurt_Enemy
HybridEnemy_hurt,Hurt_Enemy
ShootEnemy_hurt,Hurt_Enemy
TurretEnemy_hurt,Hurt_Enemy
Player_atk,Player Shoot
Player_sd,Self Destruct
Tentacle_bd,Boss_Death Sound
Tentacle_btr,Boss_Tracking Rounds
Boss_bpt,Boss_Phase Change_2
Tentacle_br,Boss_Roar
Tentacle_bsw,Boss_Wall Spawn
Tentacle_hurt,Boss_Damaged
Tentacle_bg,Boss_Grapple
Tentacle_bla,Boss_Lash Attack
Tentacle_atk,Boss_Projectile Attack
RiotShield,Riot Shield_Deploy
RichochetAbility,Shoot_Turret
WaterPopAbility,Water Pop
SelfDestructAbility,Self_Destruct
